,date_acquired,is_pre,is_post,diff_to_date_event,coverage_of_AOI,combined_metric
20200509_164705_1034,2020-05-09 11:47:05.393314-05:00,True,False,-6 days +04:09:05.393314,1.0,1.827020910717593
20200509_145404_0f36,2020-05-09 09:54:04.235285-05:00,True,False,-6 days +02:16:04.235285,1.0,1.9055065360532408
20200506_163431_0e3a,2020-05-06 11:34:31.669136-05:00,True,False,-9 days +03:56:31.669136,1.0,4.835744570185186
20200501_165736_04_1069,2020-05-01 11:57:36.043862-05:00,True,False,-14 days +04:19:36.043862,1.0,9.819721714560186
20200501_164428_1011,2020-05-01 11:44:28.616595-05:00,True,False,-14 days +04:06:28.616595,0.1981778577591741,13.036124025039692
20200518_163149_0e3a,2020-05-18 11:31:49.377670-05:00,False,True,3 days 03:42:49.377670,0.9488532335113701,-0.6406747665686283
20200518_163150_0e3a,2020-05-18 11:31:50.444596-05:00,False,True,3 days 03:42:50.444596,0.7983557035389153,-0.038672297998253224
20200519_161828_27_2271,2020-05-19 11:18:28.279975-05:00,False,True,4 days 03:29:28.279975,1.0,0.1454662034143519
20200519_163446_0e0f,2020-05-19 11:34:46.481615-05:00,False,True,4 days 03:45:46.481615,1.0,0.1567879816550919
20200519_161825_88_2271,2020-05-19 11:18:25.887907-05:00,False,True,4 days 03:29:25.887907,0.9638990722198573,0.2898422285627005
20200519_163447_0e0f,2020-05-19 11:34:47.538056-05:00,False,True,4 days 03:45:47.538056,0.3087526046544109,2.921789790363838
